,Date,Tweets
0,2022-07-30,"United Airlines: ""Take Me Along"" (Michael Cimino, 1963)

#FilmTwitter #film #MichaelCimino #UnitedAirlines #TakeMeAlong https://t.co/7gDhelI7YR"
1,2022-07-30,"@rolandsmartin @united @BlkStarNetwork This is ridiculous! I hope #UnitedAirlines does the right thing to correct this situation. I hate you had to go through that, Bro. Roland."
2,2022-07-30,My bag was 2 pounds overweight and #UnitedAirlines made be spend $100 😡🤬👎🖕
3,2022-07-30,"ICAO: A8CFFD
Flt: UAL940 #UnitedAirlines #EWR-#LHR
First seen: 2022/07/30 09:09:06
Min Alt: 24275 ft MSL
Min Dist: 0.11 nm

#planefence #adsb 
https://t.co/HIhUgLL4aP https://t.co/FPIh5oC09I"
4,2022-07-30,#unitedairlines fucking sucks
5,2022-07-30,"ICAO: A8BD6A
Flt: UAL14 #UnitedAirlines #EWR-#LHR
First seen: 2022/07/30 05:58:24
Min Alt: 25350 ft MSL
Min Dist: 7.53 nm

#planefence #adsb 
https://t.co/o94pgtpi0f https://t.co/crJYC29jXd"
6,2022-07-30,United Ramping Up Routes for College Football Games This Fall https://t.co/wpAwb7c8Et #unitedairlines https://t.co/2xiJvvcuU9
7,2022-07-30,.@united pretending they didn't cancel the flight I was in. And put me on a different one without telling or asking #United #unitedairlines https://t.co/zGan0Wdvch
8,2022-07-30,"in time for my flight back home. All emails, DMs and calls for assistance are falling to deaf ears. #UnitedAirlines @staralliance"
9,2022-07-30,RT @jasonChampton: United Airlines Boeing 737-900 reg. N73406 on final for runway 17L at Calgary International Airport #yyc #avgeek #aviati…
10,2022-07-30,RT @blendingfamily: I HATE business travel. #denverairport #unitedairlines #businesstravel #entrepreneur #roadwarrior
11,2022-07-30,I HATE business travel. #denverairport #unitedairlines #businesstravel #entrepreneur #roadwarrior
12,2022-07-30,"#home

Thanks Jim, Misako, Joe and #unitedairlines .  Couldn’t have done it without you. https://t.co/74fFlsaDey"
13,2022-07-30,@4ever_days IAH to SYD (Houston Texas to Sydney Australia) on #UnitedAirlines just over 17 hours !!!
14,2022-07-29,Delayed flight from BTR got me to my gate in Houston as the sign changed to closed. Flight attendant K to the rescue- he got them to reopen the gate and got me on the plane! #unitedAIRLINES #unitedforthewin
15,2022-07-29,"Catching a ride back home to  @fly2ohare on @united express operated by @SkyWestAirlines!

Another CRJ200, but hey it gets me back and forth! 

Have a great weekend folks! ❤️✈️

#united #unitedairlines #skywest #crj200 #airplane #capegirardeau #cgi #weekendtravel #timetofly https://t.co/jpwFntx9pU"
